,id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
0,2818,3159,Daniel,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,60,3,285,1,70
1,20168,59484,Alexander,Centrum-Oost,52.36407,4.89393,Private room,106,1,339,2,0
2,27886,97647,Flip,Centrum-West,52.387609999999995,4.8918800000000005,Private room,135,2,226,1,8
3,28871,124245,Edwin,Centrum-West,52.36775,4.8909199999999995,Private room,75,2,370,2,238
4,29051,124245,Edwin,Centrum-Oost,52.365840000000006,4.89111,Private room,55,2,520,2,267
5,44391,194779,Jan,Centrum-Oost,52.37168,4.9147099999999995,Entire home/apt,240,3,41,1,0
6,49552,225987,Joanna & MP,Centrum-West,52.38028,4.89089,Entire home/apt,179,3,392,1,185
7,49790,227530,Klaas,De Baarsjes - Oud-West,52.36158,4.86101,Entire home/apt,250,3,105,1,219
8,50523,231946,Raymond,Centrum-West,52.368109999999994,4.882619999999999,Private room,118,2,312,1,316
9,55621,262846,Bharati,De Pijp - Rivierenbuurt,52.35399,4.8975599999999995,Entire home/apt,222,3,32,1,0
10,55709,263233,Jan-Willem,Centrum-Oost,52.358112,4.8976370000000005,Entire home/apt,175,5,61,1,25
11,55868,264178,Cornelie,Zuid,52.35597,4.88512,Entire home/apt,149,4,95,1,0
12,62015,301340,Jessica,Oud-Oost,52.364309999999996,4.93122,Entire home/apt,120,2,36,1,0
13,70598,339333,Nadira,Noord-West,52.4129,4.92224,Private room,40,1,107,1,33
14,75499,400896,Edwin + Karin,De Baarsjes - Oud-West,52.36326,4.8773800000000005,Entire home/apt,90,4,38,2,298
15,76459,400896,Edwin + Karin,De Baarsjes - Oud-West,52.36261,4.876526,Private room,90,4,16,2,0
16,80635,436145,Riks,Centrum-West,52.37828,4.8944,Private room,82,3,228,4,0
17,82482,186729,Shawna,Centrum-West,52.369679999999995,4.88122,Entire home/apt,109,2,894,1,225
18,91535,494281,Michiel,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room,115,1,50,1,116
19,97221,195859,Gianni,Slotervaart,52.348009999999995,4.83639,Private room,42,2,205,1,355
20,97476,485930,Rachel,Zuid,52.35665,4.863630000000001,Entire home/apt,99,7,54,1,0
21,118097,538659,Wendie,Centrum-Oost,52.3638,4.88479,Private room,73,4,400,2,11
22,137026,670266,Ton & Fede,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,270,3,97,1,90
23,162467,776296,Nicole,De Baarsjes - Oud-West,52.3627,4.85693,Entire home/apt,155,3,60,1,330
24,168769,436145,Riks,Centrum-West,52.37956,4.8935900000000006,Private room,88,3,268,4,0
25,169356,806976,Nick,Centrum-West,52.381040000000006,4.8830599999999995,Entire home/apt,157,6,24,1,156
26,171054,815989,Kamiel,De Baarsjes - Oud-West,52.36768,4.86646,Entire home/apt,120,3,103,1,0
27,179528,856540,Pierre,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,250,21,29,2,47
28,188347,907405,Yahav,De Baarsjes - Oud-West,52.3683,4.8544599999999996,Private room,70,1,369,1,0
29,189754,915591,Marijn,Centrum-West,52.375479999999996,4.89398,Entire home/apt,165,2,206,1,203
30,193038,935742,Johan,Centrum-Oost,52.36057,4.89671,Private room,90,3,620,1,169
31,213371,1100324,Hendrik,De Pijp - Rivierenbuurt,52.3515,4.89656,Entire home/apt,200,6,22,1,4
32,214531,1107389,Henry,Centrum-West,52.37169,4.89446,Private room,115,3,169,1,63
33,219276,1135329,Amsterdam Boutique Apartments,Centrum-West,52.368829999999996,4.887490000000001,Private room,265,2,12,1,343
34,222516,1155595,Alex,De Baarsjes - Oud-West,52.36271,4.85875,Entire home/apt,119,5,135,1,0
35,226121,1178877,Eric,De Baarsjes - Oud-West,52.36138,4.86717,Entire home/apt,135,4,95,1,22
36,245927,1005087,Wytse,Centrum-West,52.36815,4.88604,Entire home/apt,470,2,130,1,308
37,247805,1298735,Carolien,De Baarsjes - Oud-West,52.36707,4.873480000000001,Private room,122,2,347,1,352
38,252080,1322517,Evan,Centrum-Oost,52.36936,4.90963,Entire home/apt,385,4,11,1,0
39,254800,1337537,Dj,Centrum-West,52.37122,4.88211,Entire home/apt,211,2,55,1,267
40,255809,1344947,F.M.,De Pijp - Rivierenbuurt,52.344159999999995,4.88709,Private room,129,2,106,1,332
41,262394,1376607,Martin,Zuid,52.35695,4.85234,Private room,88,3,113,1,0
42,272597,1426693,Arnoud,Zuid,52.3481,4.85648,Entire home/apt,145,5,6,1,0
43,274688,1435990,Marij,Bos en Lommer,52.37977,4.85574,Entire home/apt,125,4,43,1,35
44,283170,1451657,Marco,Zuid,52.35435,4.8731599999999995,Entire home/apt,707,2,110,1,222
45,286500,1491565,David,Centrum-West,52.375609999999995,4.9,Private room,90,3,302,2,216
46,290701,1491565,David,Centrum-West,52.375609999999995,4.9,Private room,97,3,351,2,215
47,291752,1511330,Ton,Oud-Oost,52.35179,4.910819999999999,Private room,105,3,209,1,339
48,297220,1532319,Anand,De Pijp - Rivierenbuurt,52.35784,4.90206,Entire home/apt,145,18,92,1,90
49,304082,276068,Mirre,Centrum-West,52.37239,4.89657,Private room,94,2,142,1,321
50,304143,1565319,Dick,Oud-Oost,52.3623,4.92028,Entire home/apt,95,3,52,1,0
51,306852,1141485,Gisèle And Simon,Centrum-Oost,52.35931,4.89844,Entire home/apt,200,3,27,3,0
52,307497,1582128,Jorn,Centrum-Oost,52.367329999999995,4.92055,Entire home/apt,707,2,99,2,281
53,307621,1141485,Gisèle And Simon,Centrum-Oost,52.358709999999995,4.89616,Entire home/apt,125,3,2,3,0
54,308028,1141485,Gisèle And Simon,Centrum-Oost,52.35972,4.8975,Private room,95,3,35,3,1
55,311124,1600010,Anke & Robert,Centrum-West,52.37104,4.87713,Entire home/apt,220,5,83,1,346
56,327285,1672823,Ester,De Pijp - Rivierenbuurt,52.35625,4.89323,Private room,232,2,535,2,24
57,331946,1687595,Sebastiaan,De Baarsjes - Oud-West,52.3606,4.8573900000000005,Entire home/apt,220,2,27,1,0
58,343094,1740785,Rob & Fang,Oud-Oost,52.35715,4.90926,Private room,65,3,398,1,230
59,350271,1775032,Agustina,IJburg - Zeeburgereiland,52.361290000000004,4.98845,Entire home/apt,395,7,3,1,358
60,357932,1811552,Peter,De Pijp - Rivierenbuurt,52.35699,4.89705,Entire home/apt,200,3,27,1,363
